uid,data_type,pI,length,molecular_weight,label,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,hydro_total,hydro_mean,charge_Sillero,charge_EMBOSS,charge_DTASelect,charge_Solomon,charge_Rodwell
3e64c3d8c369b485ab30ed42e635d3c7,peptide,4.0,20,2170.36,1,1,0,1,3,0,1,0,2,0,2,0,2,1,1,1,3,0,2,0,0,-6.6,-0.33,-3.049,-3.02,-3.081,-2.996,-3.085
0a86075a6666a1ad77dcb06688a4874d,peptide,11.05,8,985.15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,1,0,0,0,0,-4.4,-0.55,0.941,0.976,0.909,0.998,0.909
abe8c3afde72a782b6333ed9f7930ecd,peptide,4.54,19,2017.22,1,2,0,2,1,1,1,1,1,1,1,0,0,0,1,0,2,2,3,0,0,2.8,0.147,-1.854,-1.781,-1.844,-1.908,-1.997
122e3890d17739fc97c968a677308958,peptide,11.49,10,1062.19,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,3,1,0,0,-7.0,-0.7,1.94,1.976,1.908,1.997,1.909
17fe37a198a128af6e27c56555ae15c0,peptide,10.89,11,1484.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,-40.5,-3.682,0.944,0.977,0.912,1.0,0.911
4ce5c1350842ab8ddf2480712619a0f3,protein,4.97,536,59992.19,1,29,6,38,42,21,43,12,43,31,54,9,23,23,21,25,29,28,36,2,21,-138.7,-0.259,-21.573,-21.264,-21.243,-23.111,-23.195
b2c1b95d9fbd735f0f86240cbc14a599,peptide,4.14,17,1985.26,1,1,0,1,2,0,0,0,1,1,3,0,0,2,3,0,0,1,1,0,1,-8.2,-0.482,-2.053,-2.022,-2.085,-1.999,-2.088
cfdce4b19824867229d692fd411039cc,peptide,10.89,21,2765.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,-75.5,-3.595,0.944,0.977,0.912,1.0,0.911
be00f00c0b9d3901c44a8a18f8e613a0,peptide,10.89,19,2279.63,0,2,0,1,0,1,0,2,0,3,1,0,1,2,0,2,0,2,1,0,1,-25.6,-1.347,4.341,4.456,4.388,4.178,4.091
1698ebac80ea946db8b8f13d3b8f3e8e,peptide,11.1,22,2308.84,0,3,0,1,0,0,1,0,2,5,2,0,0,1,0,1,3,0,3,0,0,2.7,0.123,4.94,4.976,4.907,4.997,4.91
59747619b5e7b1261cdc8214d1a35897,peptide,10.11,15,1732.12,0,1,1,0,0,1,0,0,4,1,1,0,2,0,1,1,1,0,1,0,0,13.4,0.893,1.93,1.945,1.878,1.949,1.864
c3435d1879519c7303d7f49fb0daaab5,peptide,10.89,8,1008.1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,2,1,0,0,-10.4,-1.3,0.942,0.977,0.912,0.998,0.91
c8e3c6c935eeafba84d1b4dfcb474e3a,peptide,11.49,7,836.99,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,-6.5,-0.929,2.141,2.216,2.148,2.088,2.0
1a0d342134935ceaeab9f740b31655c1,peptide,4.54,18,1927.06,1,2,0,2,1,0,2,1,1,0,0,0,0,0,1,1,2,1,3,1,0,-5.0,-0.278,-1.853,-1.781,-1.843,-1.908,-1.997
f31eb76870abfde15226c410edbbec63,protein,4.6899999999999995,487,52537.85,1,47,10,35,23,22,57,8,13,9,40,13,15,29,13,34,31,32,31,5,20,-125.0,-0.257,-13.469,-13.369,-13.359,-14.698,-14.771
8f50837031346b9cf9dfa297fc687898,peptide,12.42,14,1580.97,0,2,0,0,0,1,1,0,1,1,1,2,0,0,0,2,1,1,1,0,0,7.9,0.564,2.94,2.976,2.908,2.997,2.909
8418d9e1c87dab3fc78813fd29769e3d,protein,4.6,306,34315.43,1,39,1,16,29,13,26,5,6,6,42,5,2,23,7,37,8,5,22,4,10,-71.0,-0.232,-0.971,-0.813,-0.824,-1.535,-1.632
7706548526a7e4a1d2da7d664b10b935,peptide,10.18,14,1750.97,0,0,0,1,0,0,0,0,1,2,1,0,2,0,1,1,2,0,1,1,1,-17.6,-1.257,1.94,1.976,1.909,1.997,1.909
863374e9e1c873799f5201551189f0e4,peptide,11.05,10,1340.38,0,0,0,0,0,0,0,3,0,0,0,0,1,0,5,1,0,0,0,0,0,-35.1,-3.51,1.543,1.697,1.63,1.27,1.182
72b222f9218a056c9900ff380d29bbdf,peptide,10.58,17,2070.44,0,0,0,0,2,1,0,0,0,2,1,1,3,2,0,2,0,0,3,0,0,-16.4,-0.965,1.946,1.978,1.912,2.001,1.913
19f1c1c8049e8d2fde3c9a41f5483a61,peptide,4.45,13,1562.76,1,0,0,1,2,0,1,0,0,1,1,1,1,0,0,1,1,0,2,1,0,-10.4,-0.8,-1.052,-1.021,-1.084,-0.998,-1.087
f9202d3d2ddea3d73ae6e3b73b4adb52,protein,10.28,211,23962.61,0,23,0,10,10,5,11,1,13,15,20,7,7,12,20,11,6,15,10,3,12,-87.7,-0.416,6.165,6.225,6.172,6.102,6.012
e3e11fdce6a7fa0d82f4981836f1a2a8,protein,4.5,20,2174.53,1,1,0,1,1,1,3,0,3,1,2,0,1,0,0,1,2,0,2,1,0,11.5,0.575,-0.055,-0.022,-0.087,-0.0,-0.089
55413435d23ff978751dd5555c5f7d1d,peptide,4.53,13,1408.57,1,0,0,0,2,1,2,0,1,1,2,0,1,0,0,0,1,2,0,0,0,-2.5,-0.192,-1.053,-1.022,-1.087,-0.999,-1.087
2337c008379214b8074e517edb01df8c,peptide,11.05,12,1583.77,0,1,0,0,1,0,0,1,0,0,1,0,0,0,3,3,0,0,1,0,1,-22.2,-1.85,2.144,2.217,2.151,2.09,2.001
b8fdcc9a6bb467597e983f2b572b97df,protein,4.8149999999999995,317,34281.05,1,37,0,22,16,8,19,1,13,15,28,11,17,5,27,11,33,26,17,2,9,-125.7,-0.397,-11.801,-11.756,-11.779,-11.874,-11.969
2c25fe786a3a23b4fbb5b4eaab7f41ea,peptide,4.79,15,1700.83,1,3,0,0,3,0,0,0,0,1,2,0,2,0,2,1,1,0,0,0,0,-20.7,-1.38,-1.05,-1.02,-1.084,-0.997,-1.086
ccbaa5b457f5162362dc474e4ef8d98b,peptide,10.71,27,3171.75,0,2,0,0,0,0,0,2,1,2,2,3,1,5,5,1,1,1,0,0,1,-29.1,-1.078,3.341,3.455,3.387,3.178,3.09
e9719b5385735a1df606333ceed6361a,peptide,4.95,16,1839.08,1,2,0,0,4,0,0,0,1,3,1,0,0,2,2,0,0,1,0,0,0,-24.7,-1.544,-1.048,-1.02,-1.084,-0.995,-1.084
1ac4fb55b2063cbd5844e7b97b90333a,peptide,10.6,12,1336.51,0,1,0,0,0,1,1,0,1,2,0,0,0,0,3,0,1,2,0,0,0,-11.8,-0.983,1.94,1.976,1.907,1.997,1.909
abc496b7c0385d767a8ce86f66fc82f5,peptide,4.03,12,1458.59,1,0,0,2,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,-10.0,-0.833,-2.054,-2.021,-2.083,-1.999,-2.088
72d996eaa0b8a0700aa5377a9922bd77,peptide,4.54,23,2626.97,1,2,0,2,2,2,2,1,1,1,3,1,0,0,1,1,2,0,1,0,1,-1.6,-0.07,-1.852,-1.781,-1.843,-1.907,-1.996
49f1269a5660d046404469ed47c8e638,peptide,10.09,16,2058.16,0,1,0,0,1,0,0,2,0,1,0,0,0,0,10,1,0,0,0,0,0,-51.5,-3.219,1.345,1.457,1.391,1.181,1.093
3fa28cc2475061ed8db1b8a383130c14,peptide,10.87,21,2560.12,0,1,0,0,2,1,2,1,1,3,2,2,0,1,0,3,0,0,1,0,1,-14.4,-0.686,4.146,4.217,4.15,4.091,4.003
07790e7ed97f44014292b57339884cc5,peptide,4.43,13,1478.71,1,0,0,3,0,1,1,0,3,2,1,0,0,0,0,0,0,2,0,0,0,-0.0,-0.0,-1.057,-1.022,-1.085,-1.001,-1.089
f1aaa58004076785ae4d81f81edf8e2a,peptide,11.47,25,3178.57,0,0,0,1,1,0,0,5,0,3,3,0,1,1,5,3,1,0,1,0,0,-56.0,-2.24,4.948,5.179,5.112,4.454,4.366
0f77c36ec16a1263b10154d74dfbd749,peptide,10.1,11,1192.3,0,1,0,0,0,0,0,1,0,1,0,0,2,2,1,0,1,1,1,0,0,-16.3,-1.482,1.141,1.216,1.148,1.088,1.0
a3df196f9a362f369ce0be96580a8203,peptide,4.07,26,2782.22,1,2,1,1,1,0,2,1,3,0,3,1,1,3,2,0,1,2,1,0,1,7.3,0.281,-1.865,-1.813,-1.877,-1.957,-2.043
7fd2c494b183e869572b3aa14900651d,peptide,4.13,19,2331.62,1,0,1,2,4,1,1,0,0,3,3,0,0,0,0,0,1,0,1,1,1,-15.2,-0.8,-3.057,-3.049,-3.11,-3.042,-3.128
2f25959a714f7ef46218b843fbefd6b6,peptide,10.1,20,2070.42,0,3,0,0,0,0,0,2,2,1,2,0,0,2,1,0,3,2,2,0,0,9.6,0.48,1.342,1.456,1.389,1.179,1.091
47fb7bb4b17029003eff937f9a23b932,protein,4.88,558,61415.93,1,48,6,30,37,22,54,15,36,34,40,14,22,26,12,35,36,28,38,5,20,-170.5,-0.306,5.006,5.445,5.443,3.146,3.066
993cd30c64c84864d3e043f78eafdd5d,protein,4.725,100,11175.02,1,8,2,2,10,4,4,0,2,10,15,2,1,4,7,2,7,8,8,0,4,-8.4,-0.084,-0.053,-0.076,-0.136,-0.083,-0.165
bb3195dc9730a9de3b79515a33f3a76d,protein,4.95,179,20154.16,1,4,2,14,15,3,13,3,17,16,22,4,7,5,5,6,12,11,12,0,8,-44.7,-0.25,-6.43,-6.344,-6.383,-6.796,-6.882
77680b20b137079af710ebfd7d559e06,protein,4.84,135,15135.93,1,8,0,11,14,2,6,6,9,12,15,3,6,2,3,3,14,8,8,0,5,-70.6,-0.523,-8.809,-8.562,-8.604,-9.428,-9.52
5b25acdbb852875b8f9b741f45e11918,protein,4.9,603,68447.0,1,46,9,40,40,25,46,19,29,27,40,13,28,24,32,29,25,35,53,19,24,-231.1,-0.383,-20.203,-19.677,-19.653,-22.621,-22.698
bf3df13d7d0370ed4d6666f27851f3b3,protein,4.9,325,35682.57,1,30,6,17,19,16,23,12,18,16,36,3,22,22,6,10,22,13,20,7,7,-35.0,-0.108,-7.646,-7.296,-7.325,-9.157,-9.233
e1a2ee401ca23fb9eb08963e8aae7026,peptide,4.07,19,2016.21,1,1,1,2,2,2,3,0,1,2,0,0,1,0,0,0,1,1,2,0,0,-5.2,-0.274,-2.062,-2.051,-2.113,-2.045,-2.131
fb53b68591de0094674522d766ddeee1,protein,4.539230769230769,189,21275.55,1,14,5,7,13,8,9,2,11,11,22,5,16,12,7,4,8,11,13,4,7,-10.1,-0.053,-4.671,-4.682,-4.731,-5.037,-5.112
3800648288216d6a03ff18c8f9944e12,protein,3.93,246,27060.0,1,14,10,12,14,10,22,9,13,12,22,4,13,18,10,4,15,16,10,7,7,-71.4,-0.29,-8.307,-8.149,-8.189,-9.634,-9.695
2aa2563a02b23b9b648e27dc9e9a0753,peptide,4.53,15,1815.01,1,0,0,0,2,0,0,0,0,1,3,0,2,1,2,0,0,3,0,1,0,-18.1,-1.207,-1.053,-1.022,-1.087,-0.999,-1.087
75161214b989a562c8409776054145c3,peptide,4.37,11,1310.39,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,-15.2,-1.382,-1.056,-1.023,-1.088,-1.001,-1.089
1d4253a710e5654d3e94f76c3d930a11,protein,4.45,342,36116.74,1,42,2,23,12,9,25,2,17,12,28,11,22,23,12,10,28,22,28,2,12,-14.5,-0.042,-12.634,-12.583,-12.608,-12.887,-12.977
f95204fe2fc7c5121ae469e673ef6f03,protein,4.8100000000000005,158,17640.96,1,14,1,11,20,5,11,2,14,10,11,3,7,5,6,10,5,6,14,0,3,-57.9,-0.366,-10.601,-10.544,-10.576,-10.825,-10.916
32061369e8c49565c14f6fc3aba60140,protein,4.95,220,23472.48,1,28,2,20,17,8,18,4,15,18,12,5,6,3,7,5,9,17,22,0,4,-24.0,-0.109,-13.214,-13.093,-13.12,-13.693,-13.781
a1a4da0b4c923221a3578b192498fd78,peptide,10.1,7,755.96,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,0,0,0,1,0,0,9.2,1.314,0.94,0.976,0.908,0.997,0.909
af6cdc722d19e0a27bc752fe6476bba2,peptide,3.59,17,1836.02,1,2,2,2,2,0,2,0,2,1,0,0,0,0,0,0,1,0,1,0,2,-0.3,-0.018,-3.073,-3.083,-3.145,-3.094,-3.177
ee3c4846dd373871a17da42155401e25,peptide,4.37,11,1115.29,1,1,0,1,1,0,2,0,1,1,2,0,0,0,0,0,0,1,1,0,0,5.7,0.518,-1.055,-1.022,-1.087,-1.0,-1.089
808fe6df0f41a5e7cf13e6f8a0748e9a,peptide,11.49,12,1474.77,0,0,0,0,0,1,0,2,0,1,3,0,1,1,0,1,0,1,1,0,0,-2.2,-0.183,2.342,2.456,2.389,2.179,2.091
2732ece2c0b23c3120c9f775c92840a2,protein,4.873,150,16762.18,1,16,3,10,11,3,8,3,9,7,14,2,4,10,3,13,6,10,11,2,5,-44.3,-0.295,-0.45,-0.379,-0.421,-0.849,-0.933
997037e777ac63e198c13d2f0c6d6486,protein,10.1,194,21663.94,0,10,2,10,19,5,18,2,9,19,18,6,3,6,7,12,10,14,17,0,7,-86.0,-0.443,2.378,2.418,2.375,2.118,2.033
2eb569ab149b3b5f85b1c460bfc1eb07,protein,4.4,293,30410.82,1,31,6,13,3,9,35,3,10,6,31,3,16,12,13,3,41,16,18,6,18,30.1,0.103,-6.514,-6.488,-6.538,-7.016,-7.09
b236c672d4f524022dfea6f642cc74aa,peptide,3.83,19,1988.09,1,2,0,1,5,0,3,0,0,1,2,0,0,3,0,0,1,0,0,0,1,-21.8,-1.147,-5.044,-5.018,-5.078,-4.993,-5.082
dc648f57185848819d9298dcfa71862b,peptide,12.13,12,1421.58,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,3,2,0,0,0,1,-19.7,-1.642,4.14,4.215,4.147,4.087,3.999
ed21585bdb0c682d6a959f5d6a148443,peptide,12.42,8,1027.28,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,2,0,1,0,0,0,-3.6,-0.45,2.94,2.976,2.908,2.997,2.909
dbe3f53cc668b31d6a4f42a900b7ca84,protein,4.28,363,39283.78,1,43,7,18,24,9,31,7,19,21,34,5,13,18,15,20,21,17,26,3,12,-74.0,-0.204,0.35,0.475,0.448,-0.654,-0.727
02c555732f06801022c6835ab6dd3e1c,peptide,4.21,15,1707.9,1,0,0,2,0,3,1,0,0,1,1,0,0,1,0,0,3,0,2,0,1,4.0,0.267,-1.059,-1.023,-1.088,-1.002,-1.091
08a688f2228b915928712354ad8978b2,peptide,4.03,12,1345.53,1,2,0,2,1,0,0,0,1,0,1,1,1,0,0,1,0,0,2,0,0,3.7,0.308,-2.054,-2.021,-2.083,-1.999,-2.088
cb57a30110801cb185b6c29e62e379bc,peptide,3.59,22,2236.46,1,2,0,2,2,1,3,0,0,1,3,0,0,0,1,0,2,2,3,0,0,4.8,0.218,-3.051,-3.02,-3.082,-2.997,-3.086
da9c6a196cfb5b4a90eb093a0d9e29ef,protein,2.86,385,41262.09,1,20,7,30,15,16,36,3,26,11,39,5,16,18,14,4,48,27,27,6,17,25.4,0.066,-29.47,-29.49,-29.5,-30.027,-30.105
c365ec85785a8f59d13d38d7b70e8bf7,peptide,3.89,19,2156.37,1,2,1,2,0,0,1,0,1,0,0,1,1,1,2,1,1,2,1,1,1,-11.7,-0.616,-1.068,-1.054,-1.117,-1.049,-1.135
9f2c61c57bdbc0929debba84d8c17add,peptide,4.08,13,1569.84,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,2,0,1,5.5,0.423,-1.056,-1.023,-1.087,-1.0,-1.089
ab24de29d00dcdebf03d8e2334ca3044,peptide,11.47,24,2586.07,0,1,0,0,1,0,3,0,0,2,2,2,2,1,1,2,1,2,4,0,0,-5.8,-0.242,2.943,2.977,2.91,2.999,2.911
a068a328af327e17c4b56881bf2eba9b,peptide,4.37,15,1682.85,1,2,0,1,1,2,0,0,2,1,0,0,2,0,1,0,2,0,1,0,0,-0.6,-0.04,-1.055,-1.022,-1.087,-1.0,-1.089
7d0a5ebe180a99ecebc5cfe36306092d,protein,4.5,367,39324.68,1,37,14,19,22,10,23,13,8,16,35,2,11,39,19,12,22,20,35,3,7,-72.1,-0.196,-10.513,-10.295,-10.317,-12.441,-12.493
e3eac5d383cf8594592b9642cc168105,peptide,11.49,7,853.08,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,-1.0,-0.143,1.94,1.976,1.908,1.997,1.909
cf3447167431cd870106101761e2aad6,protein,3.8,180,19723.61,1,7,6,14,8,12,15,4,10,6,10,2,10,7,2,2,29,13,10,6,7,-38.2,-0.212,-13.286,-13.232,-13.272,-13.906,-13.981
5a16848dbc6aa7e58db450d365dae406,peptide,4.25,17,1687.78,1,5,0,0,3,0,1,0,0,1,0,0,1,1,1,0,0,3,1,0,0,-12.3,-0.724,-2.05,-2.02,-2.084,-1.997,-2.085
147c49f56febb0344a9e58c9ccaa1901,peptide,12.41,18,1969.44,0,0,0,0,0,1,3,0,3,0,6,0,0,0,1,2,2,0,0,0,0,23.8,1.322,1.941,1.976,1.909,1.998,1.909
bc076fb0a598ea936c364d4f901e33e7,peptide,4.37,9,1107.23,1,2,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,-5.1,-0.567,-1.055,-1.022,-1.087,-1.0,-1.089
3b9f1d88f077918fb097e813771b7630,peptide,4.08,13,1469.72,1,1,0,1,1,0,1,0,0,0,3,1,0,1,2,1,0,0,1,0,0,-1.2,-0.092,-1.055,-1.022,-1.086,-1.0,-1.089
e35a174b805cb765bb482fa608495765,peptide,4.45,13,1479.65,1,1,0,1,2,1,0,0,0,2,1,0,1,0,0,0,1,1,2,0,0,-6.5,-0.5,-1.053,-1.021,-1.085,-0.998,-1.087
fb9d92a6083e34bc18a8fbb9abeadc2b,peptide,10.09,12,1469.74,0,1,0,0,1,1,1,0,1,1,0,2,1,0,0,1,1,0,0,1,0,-4.6,-0.383,0.944,0.977,0.911,0.999,0.911
d518722b1be7dfb33a3aaa8d9a471463,peptide,4.44,18,2040.26,1,1,0,3,2,0,0,0,3,2,0,0,1,2,0,1,1,1,1,0,0,-18.5,-1.028,-2.051,-2.02,-2.08,-1.997,-2.086
ae92bab5738bf383b13f79dfa0019897,peptide,4.37,11,1334.41,1,0,0,1,1,0,0,0,2,0,0,0,3,1,0,1,1,0,0,0,1,-16.7,-1.518,-1.056,-1.023,-1.087,-1.0,-1.089
a7e1a4f21ec924b1b025ab7cf8d108df,peptide,4.41,20,2137.29,1,6,0,1,3,0,0,0,1,2,1,0,1,0,2,0,2,0,0,0,1,-16.1,-0.805,-2.051,-2.021,-2.084,-1.997,-2.086
9cdc63d89947fb714773049f44544c7e,protein,4.1,388,42101.4,1,49,8,19,26,15,27,5,23,21,31,13,10,24,15,16,22,22,26,3,13,-11.3,-0.029,-7.055,-7.034,-7.056,-7.88,-7.951
b692342be941a31271aec1c2cbacf7a1,protein,4.8,401,45093.87,1,25,6,36,35,15,25,6,24,23,30,10,12,20,18,26,25,18,34,1,12,-184.7,-0.461,-20.789,-20.707,-20.691,-21.662,-21.746
6a7c073918f9fb1a764f91d6757a39ff,peptide,4.01,17,2004.26,1,0,0,1,4,1,0,0,2,2,1,0,1,1,0,0,0,2,2,0,0,-7.8,-0.459,-3.046,-3.019,-3.08,-2.994,-3.083
ad25756f80ff9827a7a93adb40589611,peptide,4.56,14,1684.95,1,0,0,2,2,0,0,0,1,3,3,0,1,0,1,0,0,0,1,0,0,-12.6,-0.9,-1.052,-1.02,-1.084,-0.998,-1.086
aebe1a2150975bc52f24fdbf4bbb0ef0,peptide,2.93,13,1365.56,1,2,1,2,0,1,1,0,0,0,3,0,0,0,1,0,0,1,1,0,0,12.9,0.992,-2.067,-2.053,-2.116,-2.049,-2.135
c2afbdc185fbe6053a423760d1fdb80d,protein,4.77,218,22985.4,1,23,3,15,16,5,24,2,20,15,13,6,7,7,4,6,9,13,24,1,5,31.1,0.143,-9.633,-9.61,-9.645,-9.929,-10.012
2534a3180b27abf2ac44c4387da21794,peptide,4.53,16,1550.82,1,4,0,0,2,0,3,0,2,0,3,0,0,1,0,1,0,0,0,0,0,13.3,0.831,-1.053,-1.022,-1.086,-0.999,-1.087
0aa010970a8447582dbc5e6be7f41b3c,protein,4.67,284,32836.7,1,34,2,22,59,1,4,1,11,39,29,8,7,0,16,14,12,8,11,0,6,-316.8,-1.115,-27.692,-27.765,-27.754,-27.889,-27.981
7f39f8d7cf458283e7edcf8f6706225e,peptide,4.65,29,3233.63,1,4,0,3,2,0,2,0,1,3,0,3,2,1,1,1,1,1,2,0,2,-24.9,-0.859,-1.053,-1.021,-1.083,-0.999,-1.088
9e5e4071a9d1b9e3765784083543f591,protein,4.96,115,12878.76,1,12,3,5,11,3,7,0,9,7,10,3,3,8,9,4,5,4,5,2,5,-31.3,-0.272,-5.057,-5.103,-5.155,-5.126,-5.208
f2208df4c50ae41bf95a43d8905a4bfc,protein,4.7,385,44734.45,1,34,13,17,29,19,14,12,18,19,38,7,15,26,19,24,17,9,26,9,20,-106.9,-0.278,-0.698,-0.509,-0.53,-2.483,-2.54
a58138910704fe9b9803e35bdddbb1fc,peptide,11.05,6,671.84,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,9.1,1.517,0.941,0.976,0.909,0.998,0.909
31f64d97161f9729d968d0d652c0295e,peptide,11.57,28,3061.78,0,2,0,1,0,1,3,0,2,3,6,2,0,0,1,2,2,2,1,0,0,14.3,0.511,3.941,3.976,3.909,3.997,3.91
36871dcfe1571efa43dd6a24b6f8caf0,protein,4.7725,156,16687.21,1,21,1,5,17,4,8,1,13,8,6,9,3,12,8,5,13,5,15,0,2,1.6,0.01,-8.815,-8.792,-8.836,-8.926,-9.014
712cb4acb8b0d1f2f6f2b7fc20c24b23,protein,4.55,146,15667.77,1,25,0,7,10,8,8,2,4,12,17,1,7,4,5,2,11,7,10,2,4,-0.1,-0.001,-2.628,-2.531,-2.584,-2.802,-2.892
2954f98793fe10f24d0af314c61a1d31,peptide,10.4,7,910.13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,5.7,0.814,1.939,1.975,1.907,1.996,1.908
f9df745b54b58f8d7ad1f57c8ffd9895,peptide,3.44,12,1489.56,1,0,0,2,4,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,-18.3,-1.525,-5.045,-5.017,-5.076,-4.993,-5.083
adba9b73daf72b8d2b662fc62ee3058c,peptide,10.18,24,2724.03,0,1,0,1,0,0,1,2,0,2,2,0,0,1,4,1,2,4,2,0,1,-26.1,-1.088,2.342,2.456,2.389,2.179,2.091
d5380ba28ea97a74a13dff0d940fab50,peptide,4.27,17,1909.25,1,3,1,0,2,1,0,0,1,1,3,1,2,0,1,0,0,1,0,0,0,6.4,0.376,-1.063,-1.052,-1.117,-1.047,-1.132
91d04f2fda0df51a230cc230f1b212ee,protein,4.7,471,54763.3,1,27,10,22,43,13,21,14,30,24,43,10,18,19,22,36,30,25,31,4,29,-231.9,-0.492,-2.229,-1.923,-1.924,-4.135,-4.205
2b893ca5f0535f417125035cdf227762,protein,4.7,169,19087.98,1,10,4,18,10,6,11,1,13,13,15,6,7,12,3,7,6,5,12,1,9,-40.8,-0.241,-7.863,-7.889,-7.925,-8.08,-8.161
7ae695d9c63305325401ed1fc09373c3,peptide,4.75,17,2079.25,1,0,0,0,3,1,0,1,1,0,2,0,2,0,1,1,2,1,1,0,1,-13.2,-0.776,-1.85,-1.781,-1.844,-1.906,-1.995
89977cd4a4262cac01bd770c811f80e4,protein,10.1,373,41464.83,0,37,4,22,18,17,21,11,25,26,35,4,14,28,9,22,17,25,24,5,9,-78.5,-0.21,10.169,10.525,10.494,8.844,8.764
e9e098ce3d54723b589ebadd04c867a7,peptide,12.71,25,3296.76,0,1,0,1,1,0,0,2,0,4,0,0,0,1,3,9,1,2,0,0,0,-82.0,-3.28,11.345,11.458,11.391,11.181,11.093
bb796b1c9c620fb2b787f203cde19204,protein,4.86,98,11595.14,1,8,0,10,11,4,4,0,9,9,5,3,6,1,1,9,2,3,7,1,5,-67.7,-0.691,-3.023,-3.008,-3.052,-2.979,-3.071
2f4d6706d57ef55c66d1a3636c5b1962,peptide,3.13,8,934.07,1,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,3.1,0.388,-2.053,-2.022,-2.086,-1.998,-2.087
