Country Name,Country Code,Land Area
European Union,EUU,3788783.70
Fragile and conflict affected situations,FCS,17439879.72
Finland,FIN,304410.25
Fiji,FJI,18270.00
France,FRA,547568.31
Faroe Islands,FRO,1394.68
"Micronesia, Fed. Sts.",FSM,700.00
Gabon,GAB,257670.00
United Kingdom,GBR,241930.00
Georgia,GEO,69490.00
Ghana,GHA,227539.50
Gibraltar,GIB,10.00
Guinea,GIN,245720.00
"Gambia, The",GMB,10120.00
Guinea-Bissau,GNB,28120.00
Equatorial Guinea,GNQ,28050.00
Greece,GRC,128900.00
Grenada,GRD,340.00
Greenland,GRL,370530.65
Guatemala,GTM,107160.00
Guam,GUM,540.00
Guyana,GUY,196818.39
High income,HIC,43487790.19
"Hong Kong SAR, China",HKG,1024.92
Honduras,HND,111890.00
Heavily indebted poor countries (HIPC),HPC,17186240.92
Croatia,HRV,55949.16
Haiti,HTI,27560.00
Hungary,HUN,90122.26
IBRD only,IBD,60349804.12
IDA & IBRD total,IBT,82528219.60
IDA total,IDA,22178415.48
IDA blend,IDB,4361685.46
Indonesia,IDN,1836520.00
IDA only,IDX,17816730.02
Isle of Man,IMN,570.00
India,IND,2973190.00
Not classified,INX,#DZIEL/0!
Ireland,IRL,68890.00
"Iran, Islamic Rep.",IRN,1628154.19
Iraq,IRQ,436650.32
Iceland,ISL,100296.77
Israel,ISR,21640.00
Italy,ITA,294706.50
Jamaica,JAM,10830.00
Jordan,JOR,88362.84
Japan,JPN,365285.48
Kazakhstan,KAZ,2699700.00
Kenya,KEN,569140.00
Kyrgyz Republic,KGZ,191800.00
Cambodia,KHM,176520.00
Kiribati,KIR,810.00
St. Kitts and Nevis,KNA,287.58
"Korea, Rep.",KOR,96728.55
Kuwait,KWT,17820.00
Latin America & Caribbean (excluding high income),LAC,17964193.35
Lao PDR,LAO,230800.00
Lebanon,LBN,10230.00
Liberia,LBR,96320.00
Libya,LBY,1759540.00
St. Lucia,LCA,610.00
Latin America & Caribbean,LCN,20063066.42
Least developed countries: UN classification,LDC,17632184.32
Low income,LIC,12017113.15
Liechtenstein,LIE,160.00
Sri Lanka,LKA,62602.06
Lower middle income,LMC,17503802.24
Low & middle income,LMY,71818611.36
Lesotho,LSO,30360.00
Late-demographic dividend,LTE,34622807.53
Lithuania,LTU,62664.35
Luxembourg,LUX,2574.46
Latvia,LVA,62227.29
"Macao SAR, China",MAC,23.38
St. Martin (French part),MAF,50.00
Morocco,MAR,446307.74
Monaco,MCO,2.03
Moldova,MDA,32892.77
Madagascar,MDG,581590.16
Maldives,MDV,300.00
Middle East & North Africa,MEA,11224574.01
Mexico,MEX,1943950.00
Marshall Islands,MHL,180.00
Middle income,MIC,59801498.21
North Macedonia,MKD,25322.26
Mali,MLI,1220190.00
Malta,MLT,320.00
Myanmar,MMR,653394.84
Middle East & North Africa (excluding high income),MNA,8642622.72
Montenegro,MNE,13450.00
Mongolia,MNG,1550499.23
Northern Mariana Islands,MNP,460.00
Mozambique,MOZ,786380.00
Mauritania,MRT,1030700.00
Mauritius,MUS,2023.61
Malawi,MWI,94280.00
Malaysia,MYS,328550.00
North America,NAC,18116487.87
Namibia,NAM,823290.00
New Caledonia,NCL,18280.00
Niger,NER,1266700.00
Nigeria,NGA,910770.00
Nicaragua,NIC,120340.00
Netherlands,NLD,33743.87
Norway,NOR,365183.96
Nepal,NPL,143129.84
Nauru,NRU,20.00
New Zealand,NZL,263310.00
OECD members,OED,35322295.16
Oman,OMN,309500.00
Other small states,OSS,248748.02
Pakistan,PAK,770880.00
Panama,PAN,74312.90
Peru,PER,1280000.00
Philippines,PHL,298188.71
Palau,PLW,460.00
Papua New Guinea,PNG,452860.00
Poland,POL,306267.74
Pre-demographic dividend,PRE,18188186.83
Puerto Rico,PRI,8870.00
"Korea, Dem. People's Rep.",PRK,120410.00
Portugal,PRT,91520.90
Paraguay,PRY,397279.23
West Bank and Gaza,PSE,6020.08
Pacific island small states,PSS,63546.77
Post-demographic dividend,PST,30796414.13
French Polynesia,PYF,3589.89
Qatar,QAT,11592.58
Romania,ROU,230062.58
Russian Federation,RUS,16379261.61
Rwanda,RWA,24670.00
South Asia,SAS,4775473.69
Saudi Arabia,SAU,2149690.00
Sudan,SDN,1868000.00
Senegal,SEN,192530.00
Singapore,SGP,681.31
Solomon Islands,SLB,27990.00
Sierra Leone,SLE,72180.00
El Salvador,SLV,20751.45
San Marino,SMR,60.00
Somalia,SOM,627340.00
Serbia,SRB,86865.29
Sub-Saharan Africa (excluding high income),SSA,21162122.75
South Sudan,SSD,631930.00
Sub-Saharan Africa,SSF,21162582.75
Small states,SST,705688.37
Sao Tome and Principe,STP,960.00
Suriname,SUR,160507.61
Slovak Republic,SVK,48092.57
Slovenia,SVN,20140.47
Sweden,SWE,407333.97
Eswatini,SWZ,17200.00
Sint Maarten (Dutch part),SXM,34.00
Seychelles,SYC,460.00
Syrian Arab Republic,SYR,183754.51
Turks and Caicos Islands,TCA,950.00
Chad,TCD,1259374.19
East Asia & Pacific (IDA & IBRD countries),TEA,15825590.35
Europe & Central Asia (IDA & IBRD countries),TEC,12192335.01
Togo,TGO,54390.00
Thailand,THA,510890.00
Tajikistan,TJK,139620.19
Turkmenistan,TKM,469930.00
Latin America & the Caribbean (IDA & IBRD countries),TLA,19935538.06
Timor-Leste,TLS,14870.00
Middle East & North Africa (IDA & IBRD countries),TMN,8636699.74
Tonga,TON,720.00
South Asia (IDA & IBRD),TSA,4775473.69
Sub-Saharan Africa (IDA & IBRD countries),TSS,21162582.75
Trinidad and Tobago,TTO,5130.00
Tunisia,TUN,155360.00
Turkiye,TUR,769630.00
Tuvalu,TUV,30.00
Tanzania,TZA,885800.00
Uganda,UGA,199958.87
Ukraine,UKR,579344.52
Upper middle income,UMC,42297695.97
Uruguay,URY,175020.00
United States,USA,9156550.00
Uzbekistan,UZB,434395.71
St. Vincent and the Grenadines,VCT,390.00
"Venezuela, RB",VEN,882050.00
British Virgin Islands,VGB,150.00
Virgin Islands (U.S.),VIR,350.00
Viet Nam,VNM,320716.54
Vanuatu,VUT,12190.00
World,WLD,116188451.55
Samoa,WSM,2825.16
Kosovo,XKX,#DZIEL/0!
"Yemen, Rep.",YEM,527970.00
South Africa,ZAF,1213090.00
Zambia,ZMB,743390.00
Zimbabwe,ZWE,386850.00
