organism,avg_length,std_length,total_aa,bootstrap_length_std,sequence_count,taxonomy_group,%A,%C,%D,%E,%F,%G,%H,%I,%K,%L,%M,%N,%P,%Q,%R,%S,%T,%V,%W,%Y,N_term_%A,N_term_%C,N_term_%D,N_term_%E,N_term_%F,N_term_%G,N_term_%H,N_term_%I,N_term_%K,N_term_%L,N_term_%M,N_term_%N,N_term_%P,N_term_%Q,N_term_%R,N_term_%S,N_term_%T,N_term_%V,N_term_%W,N_term_%Y,bootstrap_std_%A,bootstrap_std_%C,bootstrap_std_%D,bootstrap_std_%E,bootstrap_std_%F,bootstrap_std_%G,bootstrap_std_%H,bootstrap_std_%I,bootstrap_std_%K,bootstrap_std_%L,bootstrap_std_%M,bootstrap_std_%N,bootstrap_std_%P,bootstrap_std_%Q,bootstrap_std_%R,bootstrap_std_%S,bootstrap_std_%T,bootstrap_std_%V,bootstrap_std_%W,bootstrap_std_%Y
Chloroflexus_aurantiacus__strain_ATCC_29366___DSM_635___J-10-fl_,365.1181818181818,269.7992949204118,1405704,8.243170588529633,3850,Bacteria,11.27499103651978,0.8180242782264261,5.119072009469988,5.400710249099384,3.3999334141469326,7.63283024022127,2.1237045636919296,5.942716247517258,1.7813849857437982,11.304727026457916,2.0058988236499293,2.732367553908931,5.90935218225174,4.225925230347214,7.584811596182411,4.928064514293194,6.009088684388748,7.498804869303921,1.5952860630687544,2.7123064315104743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0931516032900459,0.019545539129975465,0.046202240719350605,0.06327392619961317,0.045694109377512206,0.06862985878532118,0.032477605130392224,0.05123736513738988,0.04483159158477739,0.08133259108684053,0.030532412365215412,0.035485335559191436,0.052617182808724065,0.05393918953924767,0.06613379479680151,0.038750165131453476,0.041584986105089934,0.060829737734041364,0.03608392050312637,0.037624257423329664
Legionella_drancourtii_LLAP12,289.6870421823693,275.07327515598945,1146866,8.297352889174958,3959,Bacteria,8.025872246626895,1.1829629616711979,4.802130327344258,5.9155995556586385,4.395980001150963,5.853168548025663,2.597687960058106,7.30338156332126,6.255656720139929,10.96945937886379,2.4385586459098096,4.986284361032587,4.028107904497997,4.769345328922473,4.196305409699128,6.437979676788744,5.392783463804839,5.897027202829276,1.1200959833145285,3.431612760339918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06927354541232024,0.026765384236338095,0.052686596244868975,0.06599298601650398,0.05603186608576436,0.07331045655846258,0.034516439864425444,0.05895003359816278,0.060078479667319155,0.08142954973900736,0.03975967314151662,0.05370191499677344,0.03848483358939141,0.06242628964543027,0.05790061098718629,0.05084246561008065,0.045007951198436404,0.07122678336105334,0.02700069546161177,0.03838427822509376
Saccharomonospora_viridis__strain_ATCC_15386___DSM_43017___JCM_3036___CCUG_5913___NBRC_12207___NCIMB_9602___P101_,325.01776384535003,255.6005021842459,1244167,7.172339366001864,3828,Bacteria,12.12473888151671,0.7658939676104575,6.225530817004469,6.430808725838251,2.8505819556377885,8.841337215984671,2.2419016096713706,3.5411644899760244,2.168438802829524,10.317907483480916,1.7467108515175214,1.9562486386473843,5.785477351513101,2.6977889624142097,8.060413111744644,5.337627504989282,6.124017113458242,9.259046414187162,1.4485997458540534,2.075766356124218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09453754612543283,0.022828346523272584,0.05140700599351219,0.06756807215061662,0.04282056227644834,0.05978617736625124,0.0329000223309664,0.052271410552501896,0.06119261314783218,0.07018597238587461,0.029763350511159175,0.0411864362524067,0.060929213994365565,0.04316935947958902,0.0759695557559352,0.04509255439796301,0.05128766457729435,0.07397177038609967,0.029226174353678813,0.039273331126909894
Propionibacterium_freudenreichii_subsp._shermanii__strain_ATCC_9614___DSM_4902___CIP_103027___NCIMB_8099___CIRM-BIA1_,321.74285714285713,216.36807789727735,743226,7.499475218306946,2310,Bacteria,12.345639146100918,0.7962584731965782,6.366031328290453,5.167203515485196,2.9350426384437576,8.868634843237453,2.3517745611698193,4.4318955472494235,2.515654726826026,9.618204960536902,2.3695349732113784,2.3628075444077576,5.565736397811702,3.4287013640534645,7.0830406901803755,5.846404727498769,5.990371703896258,8.474407515345266,1.4906636743063348,1.9919916687521695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10218009058492103,0.022762791326058938,0.05313470045817766,0.07793600357319923,0.03909970679319966,0.060120616052897,0.03292504146985448,0.048085264615480496,0.06267623508904394,0.07771096519256722,0.029311778843817214,0.038646758705774616,0.05703738639219403,0.040420313032685985,0.06668750223849797,0.05238264664323154,0.04998615315583834,0.07023121893162552,0.033554245233329824,0.035428009595913496
Escherichia_coli_O6_H1__strain_CFT073___ATCC_700928___UPEC_,292.60007496251876,225.19661514387434,1561195,6.355136509753351,5336,Bacteria,9.362699726811833,1.2366808758675245,5.101284592891983,5.615826338157629,4.022815855802767,7.2871101944343915,2.3432050448534616,5.971259195680232,4.383949474601187,10.541220026966522,2.803045103270251,4.008595979361964,4.366142602301442,4.482015379244745,5.625434362779794,5.955437981802401,5.507063499434728,7.001687809658627,1.5187724787742722,2.8657534773042443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07361098263975982,0.025630265702340588,0.04648535603679863,0.06725709109330825,0.043957293053441135,0.06318044852071032,0.030778787438749913,0.06082150432056829,0.05707867880345607,0.07592342120523116,0.035337106108692104,0.049141265677884106,0.05549968034898413,0.06593473383908857,0.054670613729463254,0.05645853376243085,0.051208227703826464,0.05275595876108996,0.03271412912592374,0.038453395131488766
Zinderia_insecticola__strain_CARI_,303.70388349514565,212.56406158186903,62563,15.210379166640397,206,Bacteria,1.6463404887873023,1.0725189009478446,2.2665153525246553,3.2766970893339513,6.922621997026996,3.6970733500631363,0.9638284609114013,17.489570512922974,17.948308105429728,9.296229400764028,1.2323577833543788,12.812684813707783,1.9660182536003707,1.1812093409842879,2.036347361859246,5.18517334526797,2.6117673385227693,2.047536083627703,0.5993958090245033,5.74780621133897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1236931687921038,0.04613911589383501,0.09210271333889856,0.12425668897353115,0.2219826570817368,0.1656650990949406,0.05026185043957702,0.23909231311281026,0.35677002459023166,0.15189412338248176,0.05744935907770317,0.254814097465418,0.0631558605381198,0.05531274588478735,0.08752221131727712,0.15024568192067264,0.08654954093375498,0.09975961562680602,0.05930790409771264,0.13503257394676252
Cellulomonas_flavigena__strain_ATCC_482___DSM_20109___BCRC_11376___JCM_18109___NBRC_3775___NCIMB_8073___NRS_134_,335.8548870133406,231.00595224815132,1233595,7.000474282011184,3673,Bacteria,14.703772307767135,0.5997106019398587,6.650237719835116,5.098918202489472,2.323047677722429,9.391331839055768,2.222933782967668,2.3196429946619435,1.2153907887110438,10.280926884431276,1.4306153964631827,1.3710334429046809,6.258780231761641,2.627037236694377,8.23406385402016,4.584729996473721,6.561715960262485,10.758555279488,1.605145935254277,1.7624098670957649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12358302656158035,0.019578440090040384,0.04420008366658749,0.07403705780395162,0.040205708153352566,0.07435246646333327,0.03984093449447883,0.059008742740296834,0.05456231960478569,0.07665645186503385,0.025113038657656128,0.05497176051064074,0.06579083487930501,0.04727430299081968,0.07876205414315833,0.055395790357224875,0.07183656322728788,0.08121471804527634,0.033742596002877115,0.03780669327254494
Corynebacterium_urealyticum__strain_ATCC_43042___DSM_7109_,349.276976628543,233.28561119763418,702396,7.271243146010184,2011,Bacteria,11.974441767891616,0.6618773455429701,5.854247461545908,6.654081173582993,3.123309358253749,8.759730977966845,2.099527901639531,4.686814845187046,3.4611529678415027,9.38615823552526,2.1842379512411805,2.871030017255223,5.245189323401614,3.6179021520623698,6.457895546102199,5.743341362991817,5.848410298464114,7.873478778352952,1.403624166424638,2.093548368726473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917372006519965,0.018487389776465028,0.05402243906922724,0.07159512628327482,0.04047875669836756,0.06598252032646999,0.03359256208334795,0.049093670055152694,0.05838812956906668,0.0779805769768206,0.027374812341744662,0.042886318985322636,0.04520317364840173,0.041902374286666134,0.06468638813672403,0.045898476544000484,0.04172940701603493,0.05673140070300208,0.03208885082567557,0.03602731409584492
Ligilactobacillus_ruminis__strain_ATCC_27782___RF3_,292.5348460291734,199.95447685912956,541481,6.923230647688983,1851,Bacteria,7.3143840688777635,0.9972649086486876,5.924861629493925,6.947242839545617,4.489354197100175,6.673918383101161,1.8855693920931667,6.992858475181955,7.745793481211714,9.419905776934002,2.854763140350262,4.707090368821806,3.183121845457181,3.4527527281659003,4.4433692040902635,6.1797182172597,5.216803544353357,7.055279871315891,0.8593099296189524,3.656637998378521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07003528775594423,0.029389845144099758,0.06101096776954387,0.09984570961633463,0.059277646649056416,0.06412409280211452,0.03162414890817023,0.06471286100477086,0.07928750302114293,0.06928413204451452,0.03177008000823243,0.043201727012613766,0.041924104815390426,0.05007090264661746,0.06405366688361325,0.06535105946315557,0.04802048800357551,0.06275107467640105,0.022973157016641085,0.04859595384061138
Crocosphaera_subtropica__strain_ATCC_51142___BH68_,298.3193357510975,257.1130799012865,1562895,7.430664210445797,5239,Bacteria,6.574657926476187,0.9999392153663553,5.077948294671107,6.620982215695872,4.141033146820484,6.434213430844682,1.8966725211866442,7.509077705156137,5.573567002261829,11.072784800002559,1.993416064418915,4.9266265488084615,4.526791627076674,5.207963426845693,4.505357045738837,6.37803563259208,5.765902379878367,6.083134183678366,1.4235761199568748,3.2883207125238743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07262998177692861,0.022473611306848894,0.05020268458946863,0.06635771479783513,0.04520701935040994,0.0656148577542949,0.033400460114001614,0.06246390797475092,0.05784160017511084,0.09544916238294068,0.0334457344096982,0.04589118089776784,0.045575777177005894,0.0742080505992055,0.06026560091564161,0.047416990797147424,0.04572416548853393,0.057535880671861064,0.02861518201263034,0.04055920248537305
Aeromonas_hydrophila_subsp._hydrophila__strain_ATCC_7966___DSM_30187___BCRC_13018___CCUG_14551___JCM_1027___KCTC_2358___NCIMB_9240___NCTC_8049_,334.72312545498664,245.78193642590912,1379393,8.125710877209452,4121,Bacteria,10.573346392217447,1.1325271333115363,5.113916048580789,5.8314780486779325,3.619345610714278,7.971114830943756,2.3415371833842857,5.022644018057218,3.800077280368974,12.087345665810977,2.5892548389037784,3.039235373820224,4.744985656734521,4.879247611086906,5.901218869459248,5.62421296903783,4.819076216857705,6.827133384031963,1.4721692802558808,2.6101335877447545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09055983840566532,0.026921188123241256,0.04590723060287394,0.06767969113433803,0.0450680706004945,0.08008653191778087,0.0344385248967009,0.05673651134240239,0.06568724326132619,0.08718454106899025,0.034824754280951865,0.04446625278215624,0.0499189176576013,0.05784540039087645,0.06344883051350418,0.042683648490485074,0.0410033082923286,0.05382128010364299,0.030804588253323772,0.034734454907831114
Methylocella_silvestris__strain_DSM_15510___CIP_108128___LMG_27833___NCIMB_13906___BL2_,319.55870020964363,226.7253871238171,1219435,6.854834825807259,3816,Bacteria,13.821072873912918,0.8927905136395134,5.540680725089898,5.587833709873835,4.014892142672631,8.47466244613284,1.8882515263216164,5.274245859762923,3.4690655918519644,10.230885615059433,2.0967907268530097,2.548721334060446,5.481308966857602,3.013772771816456,7.08992279211274,5.6361347673307725,4.715708504348325,6.832344487406053,1.2221233604087138,2.168791284488308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10281249564373024,0.019260738817082977,0.0496277773293422,0.06196313832146442,0.04927757905849018,0.054669547909799526,0.030347614672183398,0.04469665524737718,0.053812478440191845,0.0661320067115382,0.03162293556179927,0.0313430820573103,0.060468234909822845,0.03234577199143388,0.0669244723847296,0.04088523432242773,0.041641503185036094,0.0550554413512038,0.028848914557305715,0.03143177866037195
Amycolatopsis_mediterranei__strain_U-32_,329.3803780964798,264.32374564862795,3031615,7.858959697695364,9204,Bacteria,13.77150462707171,0.7463678600349979,5.895900369934837,5.437662763906367,2.99764317038938,9.462415247318672,2.2050623182693054,3.3042124412235725,2.166930827298321,10.526699465466427,1.5631932154973505,1.9251784939710352,6.0247425876966565,2.742399678059384,7.6659140425152925,4.975499857336766,6.168065536026178,8.811244171835805,1.5492072707121451,2.060156055435799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10432028568034094,0.020590943630757218,0.0473265571217104,0.07881052668920728,0.037182088624692994,0.06333878479823608,0.03435472368208105,0.04844055820077738,0.05467355025849068,0.07511148299494003,0.024108821259187188,0.04111806821762179,0.06291534470061512,0.04693122685213059,0.07079453269947854,0.05124256438524002,0.05989716937731275,0.06407911847496445,0.032453621061757004,0.03608037988714794
Desulforapulum_autotrophicum__strain_ATCC_43914___DSM_3382___VKM_B-1955___HRM2_,337.37102765167145,241.4239010076919,1634868,7.5431430068374,4846,Bacteria,8.026519572222345,1.330749638502925,5.536654947066063,5.966720248974229,4.624777046220245,7.411485208591764,2.0690967099484485,7.093477883229717,6.000606776816232,9.93982388792245,2.9224989418105927,3.9035567397490194,4.392403545729686,3.4494527998590714,5.206964721310833,5.862369316666545,5.609566032242359,6.814617449237492,1.0589234115537156,2.779735122346269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0630858655965941,0.02989290587955462,0.04683098817475711,0.05288110016230234,0.050704939576805136,0.062078410550136645,0.029412609029182746,0.05786348467141498,0.06477903552910146,0.06729004762447689,0.03237666374070526,0.04006850868790001,0.040182268826124225,0.03627108076538031,0.048746695910271615,0.04344462354596073,0.03754235256143546,0.054536738907090716,0.025679388423741432,0.03461131861959989
Mucilaginibacter_paludis_DSM_18603,342.45250582750583,267.3587885443504,2350594,8.67407465817536,6864,Bacteria,7.604801169406541,0.8068173406381536,5.3832775885584665,5.107049537265899,4.772878685132353,6.7087297934054115,1.9031359732901556,7.2103051398922995,6.848694415113797,9.583705225147346,2.223693245196746,5.81716791585446,3.9027581964388576,4.033491109055839,3.9019924325510913,6.445774982834126,6.005758544436002,6.266458605782198,1.166343485944404,4.307166614055851,0.014568764568764568,0.0,0.0,0.014568764568764568,0.0,0.0,0.0,0.0,0.014568764568764568,0.014568764568764568,99.94172494172494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06769384048716967,0.020027593707905935,0.04586848889219733,0.07356926697619592,0.04671331489503485,0.06794145627360323,0.0268476952778597,0.050773915535365303,0.0586133026969282,0.06940586305791249,0.03274760333135421,0.05064089620496403,0.04091803985283704,0.048328728116392015,0.046699032310050084,0.04559842248082863,0.042847549323979495,0.04884284792261706,0.030586530623444495,0.04091071753838374
