Country Name,Country Code,Land Area
Morocco,MAR,446307.7419354839
Monaco,MCO,2.02883870967742
Moldova,MDA,32892.76774193548
Madagascar,MDG,581590.1612903225
Maldives,MDV,300.0
Middle East & North Africa,MEA,11224574.011435485
Mexico,MEX,1943950.0
Marshall Islands,MHL,180.0
Middle income,MIC,59801498.208467744
North Macedonia,MKD,25322.25806451613
Mali,MLI,1220190.0
Malta,MLT,320.0
Myanmar,MMR,653394.8387096775
Middle East & North Africa (excluding high income),MNA,8642622.721112903
Montenegro,MNE,13450.0
Mongolia,MNG,1550499.2265
Northern Mariana Islands,MNP,460.0
Mozambique,MOZ,786380.0
Mauritania,MRT,1030700.0
Mauritius,MUS,2023.6129032258063
Malawi,MWI,94280.0
Malaysia,MYS,328550.0
North America,NAC,18116487.870967742
Namibia,NAM,823290.0
New Caledonia,NCL,18280.0
Niger,NER,1266700.0
Nigeria,NGA,910770.0
Nicaragua,NIC,120340.0
Netherlands,NLD,33743.87096774193
Norway,NOR,365183.9579032258
Nepal,NPL,143129.83870967742
Nauru,NRU,20.0
New Zealand,NZL,263310.0
OECD members,OED,35322295.1648871
Oman,OMN,309500.0
Other small states,OSS,248748.01612903227
Pakistan,PAK,770880.0
Panama,PAN,74312.90322580645
Peru,PER,1280000.0
Philippines,PHL,298188.70967741933
Palau,PLW,460.0
Papua New Guinea,PNG,452860.0
Poland,POL,306267.7419354839
Pre-demographic dividend,PRE,18188186.83166129
Puerto Rico,PRI,8870.0
"Korea, Dem. People's Rep.",PRK,120410.0
Portugal,PRT,91520.89677419355
Paraguay,PRY,397279.22648387094
West Bank and Gaza,PSE,6020.081967213115
Pacific island small states,PSS,63546.77419354839
Post-demographic dividend,PST,30796414.132629033
French Polynesia,PYF,3589.8870967741937
Qatar,QAT,11592.58064516129
Romania,ROU,230062.5806451613
Russian Federation,RUS,16379261.612903226
Rwanda,RWA,24670.0
South Asia,SAS,4775473.6850000005
Saudi Arabia,SAU,2149690.0
Sudan,SDN,1868000.0
Senegal,SEN,192530.0
Singapore,SGP,681.3064516129032
Solomon Islands,SLB,27990.0
Sierra Leone,SLE,72180.0
El Salvador,SLV,20751.451612903227
San Marino,SMR,60.0
Somalia,SOM,627340.0
Serbia,SRB,86865.29411764706
Sub-Saharan Africa (excluding high income),SSA,21162122.754241936
South Sudan,SSD,631930.0
Sub-Saharan Africa,SSF,21162582.754241936
Small states,SST,705688.368064516
Sao Tome and Principe,STP,960.0
Suriname,SUR,160507.61000000002
Slovak Republic,SVK,48092.566666666666
Slovenia,SVN,20140.470967741934
Sweden,SWE,407333.9735483871
Eswatini,SWZ,17200.0
Sint Maarten (Dutch part),SXM,34.0
Seychelles,SYC,460.0
Syrian Arab Republic,SYR,183754.51143548384
Turks and Caicos Islands,TCA,950.0
Chad,TCD,1259374.1935483871
East Asia & Pacific (IDA & IBRD countries),TEA,15825590.350209678
Europe & Central Asia (IDA & IBRD countries),TEC,12192335.012903225
Togo,TGO,54390.0
Thailand,THA,510890.0
Tajikistan,TJK,139620.1935483871
Turkmenistan,TKM,469930.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,19935538.063580643
Timor-Leste,TLS,14870.0
Middle East & North Africa (IDA & IBRD countries),TMN,8636699.737241935
Tonga,TON,720.0
South Asia (IDA & IBRD),TSA,4775473.6850000005
Sub-Saharan Africa (IDA & IBRD countries),TSS,21162582.754241936
Trinidad and Tobago,TTO,5130.0
Tunisia,TUN,155360.0
Turkiye,TUR,769630.0
Tuvalu,TUV,30.0
Tanzania,TZA,885800.0
Uganda,UGA,199958.87096774194
Ukraine,UKR,579344.5161290322
Upper middle income,UMC,42297695.96975806
Uruguay,URY,175020.0
United States,USA,9156550.0
Uzbekistan,UZB,434395.70967741933
St. Vincent and the Grenadines,VCT,390.0
"Venezuela, RB",VEN,882050.0
British Virgin Islands,VGB,150.0
Virgin Islands (U.S.),VIR,350.0
Viet Nam,VNM,320716.5375806451
Vanuatu,VUT,12190.0
World,WLD,116188451.55496773
Samoa,WSM,2825.1612903225805
Kosovo,XKX,
"Yemen, Rep.",YEM,527970.0
South Africa,ZAF,1213090.0
Zambia,ZMB,743390.0
Zimbabwe,ZWE,386850.0
